GroupID(X),GroupID(Y),GroupID(Z),GroupThreadID(X),GroupThreadID(Y),GroupThreadID(Z),DispatchThreadID(X),DispatchThreadID(Y),DispatchThreadID(Z),GroupIndex,Value
0,9,2,	2,19,2,	2,189,189,	189,0.000000
0,3,2,	10,3,2,	190,190,190,	0,0.000000
3,2,11,	3,2,191,	191,191,0,	2,0.000000
2,12,3,	2,192,192,	192,0,3,	3,0.000000
13,3,2,	193,193,193,	0,4,3,	2,0.000000
3,2,194,	194,194,0,	5,3,2,	15,0.000000
2,195,195,	195,0,6,	3,2,16,	3,0.000000
196,196,196,	0,7,3,	2,17,3,	2,0.000000
197,197,0,	8,3,2,	18,3,2,	198,0.000000
198,0,9,	3,2,19,	3,2,199,	199,0.000000
0,0,4,	2,10,4,	2,200,200,	200,0.000000
1,4,2,	11,4,2,	201,201,201,	0,0.000000
4,2,12,	4,2,202,	202,202,0,	3,0.000000
2,13,4,	2,203,203,	203,0,4,	4,0.000000
14,4,2,	204,204,204,	0,5,4,	2,0.000000
4,2,205,	205,205,0,	6,4,2,	16,0.000000
2,206,206,	206,0,7,	4,2,17,	4,0.000000
207,207,207,	0,8,4,	2,18,4,	2,0.000000
208,208,0,	9,4,2,	19,4,2,	209,0.000000
209,0,0,	5,2,10,	5,2,210,	210,0.000000
0,1,5,	2,11,5,	2,211,211,	211,0.000000
2,5,2,	12,5,2,	212,212,212,	0,0.000000
5,2,13,	5,2,213,	213,213,0,	4,0.000000
2,14,5,	2,214,214,	214,0,5,	5,0.000000
15,5,2,	215,215,215,	0,6,5,	2,0.000000
5,2,216,	216,216,0,	7,5,2,	17,0.000000
2,217,217,	217,0,8,	5,2,18,	5,0.000000
218,218,218,	0,9,5,	2,19,5,	2,0.000000
219,219,0,	0,6,2,	10,6,2,	220,0.000000
220,0,1,	6,2,11,	6,2,221,	221,0.000000
0,2,6,	2,12,6,	2,222,222,	222,0.000000
3,6,2,	13,6,2,	223,223,223,	0,0.000000
6,2,14,	6,2,224,	224,224,0,	5,0.000000
2,15,6,	2,225,225,	225,0,6,	6,0.000000
16,6,2,	226,226,226,	0,7,6,	2,0.000000
6,2,227,	227,227,0,	8,6,2,	18,0.000000
2,228,228,	228,0,9,	6,2,19,	6,0.000000
229,229,229,	0,0,7,	2,10,7,	2,0.000000
230,230,0,	1,7,2,	11,7,2,	231,0.000000
231,0,2,	7,2,12,	7,2,232,	232,0.000000
0,3,7,	2,13,7,	2,233,233,	233,0.000000
4,7,2,	14,7,2,	234,234,234,	0,0.000000
7,2,15,	7,2,235,	235,235,0,	6,0.000000
2,16,7,	2,236,236,	236,0,7,	7,0.000000
17,7,2,	237,237,237,	0,8,7,	2,0.000000
7,2,238,	238,238,0,	9,7,2,	19,0.000000
2,239,239,	239,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
